IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
992115,0.91189474,0.08953502,-0.109986946,0.5459936,0.37263694,0.029299887
992393,0.83422935,0.08602816,-1.0413996,0.16075073,0.12997727,0.029621623
992526,0.8731345,0.10314961,0.31479236,0.39069685,0.304361,0.041914597
998453,0.9016899,0.21544293,-0.5747052,0.7055177,0.6228216,0.08362273
1000003,0.8729907,0.10987998,-0.35079905,0.34901932,0.30183208,0.03162102
1000944,0.82991487,0.08292522,0.2982401,0.17713901,0.14143592,0.026559897
1002300,0.8562914,0.119843185,-0.5264402,0.30883795,0.24432926,0.044081263
1003011,0.85095614,0.14565653,-0.67133886,0.2833674,0.22101729,0.05056243
1003223,0.84389997,0.10902116,-0.031215278,0.2971733,0.22999124,0.04672903
1003328,0.88072336,0.10345003,0.30883837,0.3884727,0.31648505,0.0372714
1005185,0.8744326,0.117277466,0.38407093,0.40108418,0.3431088,0.048434693
1005286,0.8418831,0.09711903,-0.20440236,0.20506926,0.1587587,0.03338941
1008892,0.8378629,0.07756656,-0.12694761,0.11897051,0.095567726,0.01621127
1008967,0.85406417,0.094052866,-0.850698,0.20867367,0.17780975,0.029839301
1009029,0.8928481,0.19173191,-0.7095568,0.56965196,0.48252574,0.066509224
1019534,0.85463035,0.09728613,-0.9638893,0.23186909,0.18806064,0.03263489
1019545,0.85203165,0.1164622,-0.6387102,0.2674091,0.21728225,0.038891837
1019829,0.85205513,0.07282561,0.52473146,0.21581158,0.1634618,0.024882121
1020003,0.8379868,0.07816649,0.3971198,0.23514327,0.14916699,0.032414347
1020094,0.86832875,0.25098547,-0.91709787,0.56253767,0.4387001,0.09109749
1025813,0.83520734,0.08971393,-0.31668794,0.2004713,0.14627314,0.031501137
1025854,0.8498711,0.086209334,-0.6088611,0.19222896,0.1488327,0.022482585
1026298,0.86696565,0.108737394,0.24596031,0.33668536,0.26775178,0.03859265
1026348,0.9193668,0.086338095,-0.25898004,0.5611682,0.4737912,0.038270816
1027427,0.95892537,0.20259088,-1.9027128,0.9877559,0.7973155,0.073079884
1028174,0.91926634,0.1795411,0.081524394,0.7493488,0.6336165,0.060925856
1029483,0.885247,0.1320117,0.7970197,0.41262344,0.31963405,0.04318024
1029603,0.82475704,0.078781076,-0.5923035,0.10705354,0.08425087,0.021322232
1029776,0.84513354,0.10973224,-0.58314925,0.26078507,0.19899054,0.04410877
1029858,0.85675734,0.10810735,-0.7566789,0.2600577,0.19091594,0.031341583
1030062,0.87781644,0.09317801,-0.13274512,0.36432233,0.31447974,0.036122933
1030251,0.87565875,0.09699205,-0.07003779,0.3813449,0.2909074,0.040928748
1030362,0.88195336,0.4043643,0.22153749,0.8413014,0.68839866,0.1313375
1030377,0.8499135,0.07699172,0.56059647,0.23706275,0.15735082,0.025930725
1030394,0.8178205,0.08924189,-0.8016181,0.112193495,0.08527304,0.028659126
