IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
2210310,0.90248036,0.095098756,-1.29172,0.33167946,0.25265935,0.03918249
2210504,0.9000792,0.17096311,-0.053928416,0.5212418,0.44796687,0.0748718
2216606,0.90480924,0.07529965,0.61399597,0.39084533,0.3029962,0.027164768
2230951,0.8949044,0.07546981,-0.22665119,0.21476665,0.16830465,0.028711189
2232293,0.89150196,0.08480023,0.012365345,0.17617358,0.13324468,0.028751448
2232762,0.8975381,0.12947628,0.0637036,0.3920919,0.3156353,0.056600697
2233907,0.8937121,0.07058524,0.25877497,0.30019382,0.19411276,0.031671207
2239242,0.90709794,0.08476296,0.21526474,0.442051,0.3809067,0.035930026
2239676,0.8980809,0.11356287,-0.33380905,0.3801529,0.3179046,0.04485416
2243779,0.9058236,0.11066651,-1.9782414,0.25261983,0.20642601,0.03874935
2260141,0.8952025,0.06867659,0.18139671,0.24948852,0.19248824,0.026692249
2260695,0.8890369,0.115269594,-0.15260942,0.29043362,0.25573984,0.05597133
2265801,0.8985548,0.074655004,-0.31308085,0.36482486,0.29889882,0.03362115
2268224,0.8969276,0.08129025,0.3090508,0.3205065,0.26255298,0.031192949
2272381,0.8916623,0.08382971,-0.45761657,0.15466128,0.11676544,0.028303547
2288615,0.8915203,0.097088985,-0.22218971,0.21896806,0.17777288,0.041065786
2289409,0.8979697,0.09425677,-0.58219415,0.253359,0.231963,0.027264792
2293260,0.90326655,0.11867021,0.53304887,0.4377836,0.3658624,0.0451849
2297108,0.8970638,0.09849014,0.14092848,0.30735636,0.2558533,0.04285999
2307880,0.923496,0.097228244,0.8966977,0.5859196,0.5496785,0.03503402
2310943,0.88796693,0.113573,-0.61037683,0.22110163,0.18855008,0.050642125
2312107,0.92825466,0.64352995,0.9257352,1.654982,1.3992513,0.20242569
2312211,0.9008558,0.11373273,-0.29135528,0.462283,0.36924616,0.056765232
2317660,0.8897276,0.07270922,0.06324765,0.21917848,0.18359552,0.035651695
2339152,0.897322,0.098977715,-0.6854284,0.3117801,0.23334967,0.038717423
2339727,0.912665,0.10085924,0.697122,0.5359334,0.4306955,0.038002938
2341824,0.9176805,0.20402615,-0.43250522,0.8239454,0.70829415,0.0792625
2342152,0.90219164,0.07990148,-0.4038709,0.36179557,0.32146296,0.03479625
2342891,0.895063,0.1099571,-0.12611741,0.3643318,0.29341054,0.049232878
2346581,0.91251475,0.1629893,0.55423135,0.68851185,0.59759957,0.06637912
2367778,0.8912581,0.06432254,-0.9433089,0.12122593,0.1009746,0.020637961
2377816,0.89553857,0.09370694,0.23242961,0.27680916,0.22925083,0.038842376
2380786,0.90627307,0.26488775,-0.8751538,0.7162034,0.5775009,0.104636595
2386497,0.9147113,0.0881456,-0.12562402,0.57410896,0.4511385,0.03464633
2387205,0.89900213,0.13694683,-0.09080341,0.48788115,0.39265656,0.06219726
2389789,0.90197754,0.10640813,0.13840736,0.3807023,0.3241535,0.0445898
2391757,0.8941975,0.08749082,-0.47821516,0.2776576,0.21218272,0.03659048
2395415,0.89375424,0.06390659,-0.43058354,0.3066216,0.2086328,0.029516669
2413620,0.89272815,0.06991274,-0.63459164,0.26318404,0.20096657,0.029019523
2421034,0.8940123,0.06367148,-0.10168877,0.24077019,0.20477745,0.02573442
2432832,0.88867927,0.097863235,0.041529972,0.25362274,0.20823063,0.0480034
2436677,0.9052427,0.111838415,0.8512937,0.39805102,0.34744453,0.038990613
2445852,0.92307675,0.18922748,-0.17635442,0.926128,0.79117477,0.079245955
2452600,0.8914347,0.101112105,-1.2133389,0.22696643,0.17394231,0.04160226
2456055,0.8867972,0.073663294,-0.4291994,0.13138483,0.104265146,0.028497025
2456800,0.9012826,0.17756066,-0.18996783,0.58703595,0.48689052,0.08797134
2459116,0.89796424,0.12176195,-0.8566685,0.32044092,0.2571954,0.049614836
2462347,0.8940877,0.09380872,0.5306239,0.28509122,0.24635856,0.042849023
2462541,0.8992325,0.084898256,0.7759951,0.31334484,0.24381326,0.03201116
2463396,0.8850133,0.084401816,0.19049814,0.14750694,0.116655305,0.0320304
2466933,0.8894592,0.07978065,0.18535532,0.15859163,0.13710812,0.025711257
2467790,0.9414144,0.18499027,-0.59001887,1.2109017,1.082905,0.07641857
2470254,0.8947343,0.108670026,-0.14337142,0.32403532,0.25906274,0.049568348
2470490,0.9025215,0.11261919,-0.33251438,0.43783098,0.35071272,0.044719163
2549364,0.88791484,0.06388828,-0.15360269,0.123105854,0.101427115,0.024269536
2603019,0.89667314,0.09518066,1.0179847,0.2733646,0.23025148,0.03835102
2603735,0.8902298,0.10018911,-0.54586244,0.29816118,0.21115284,0.045060176
2618643,0.8927025,0.09476731,0.046850823,0.29478225,0.2414914,0.044109352
2619216,0.94787943,0.55342835,-1.5564631,2.2355924,1.9061831,0.17828369
2635251,0.8927632,0.11085341,0.24389595,0.3490223,0.27319115,0.050290573
2648750,0.91142595,0.24362355,0.97210985,0.73556095,0.57945955,0.09831517
2671907,0.90354943,0.08627099,0.75745064,0.39704636,0.31779042,0.0371907
2679859,0.89532703,0.07831114,0.0122288745,0.298602,0.22391748,0.031021545
2686462,0.891744,0.0762389,-0.6696116,0.1718328,0.13673957,0.028364554
2687315,0.89750856,0.09260841,0.22136088,0.32053584,0.2692534,0.037140694
2689764,0.8967007,0.11374272,-0.19337747,0.39537588,0.33459142,0.054953698
2698655,0.91397136,0.1519144,-0.047926813,0.63878036,0.54259187,0.05534746
2708065,0.89751303,0.10338866,0.39889175,0.34613198,0.28590268,0.047405314
2735725,0.9197769,0.13293388,0.45471403,0.6721212,0.56621414,0.04672676
2969682,0.8942121,0.08341944,-0.7605035,0.2669434,0.19910759,0.038719375
